x (Extr) hub,y (Extr) hub,x (Intr) hub ,y (Intr) hub,x (Extr) tip,y (Extr) tip,x (Intr) tip,y (Intr) tip,theta,h1,rHub1,rHub2,x (perfil cinta),y  (perfil cinta),z  (perfil cinta),solidez,s,nAlabes,angulo,rEje,rCarenado
0.014322151,0.038115848,0.019509229,0.034459874,0.036950107,0.017106474,0.038080332,0.010861916,-34.10913336,0.051808415,0.112057135,0.113284928,0.020025427,0,0.171011331,,,,,,
0.014768467,0.038567579,0.019768241,0.035003158,0.037585075,0.017115137,0.038646095,0.011067239,-34.47758615,0.052709135,0.113754971,0.115001366,0.020328842,0,0.171029934,,,,,,
0.015216887,0.039016449,0.020030499,0.035545489,0.038219534,0.017120286,0.039213501,0.011269606,-34.84188487,0.053609856,0.115452806,0.116717804,0.020632258,0,0.171048536,,,,,,
0.015667393,0.039462449,0.020296,0.036086849,0.038853465,0.017121925,0.039782536,0.011469006,-35.20207103,0.054510577,0.117150641,0.118434243,0.020935673,0,0.171067139,,,,,,
0.016119967,0.039905568,0.02056474,0.036627217,0.039486849,0.017120062,0.040353183,0.011665426,-35.55818667,0.055411298,0.118848477,0.120150681,0.021239089,0,0.171085742,,,,,,
0.016578688,0.040342743,0.02083262,0.037169631,0.04012044,0.01710965,0.040924653,0.011863906,-35.91027426,0.056312019,0.120546312,0.121867119,0.021542505,0,0.171104345,,,,,,
0.017039408,0.040776976,0.021103768,0.037711059,0.040753391,0.017095738,0.041497759,0.012059392,-36.25837667,0.05721274,0.122244148,0.123583557,0.02184592,0,0.171122948,,,,,,
0.017502108,0.041208257,0.021378179,0.038251482,0.041385682,0.017078334,0.042072486,0.012251872,-36.60253706,0.058113461,0.123941983,0.125299996,0.022149336,0,0.171141551,,,,,,
0.017966771,0.041636578,0.021655851,0.038790881,0.042017295,0.017057445,0.042648817,0.012441334,-36.94279889,0.059014181,0.125639818,0.127016434,0.022452751,0,0.171160154,,,,,,
0.018433378,0.04206193,0.021936781,0.039329237,0.042648209,0.017033076,0.043226736,0.012627766,-37.27920582,0.059914902,0.127337654,0.128732872,0.022756167,0,0.171178757,,,,,,
0.018903334,0.042483182,0.022219542,0.039867651,0.043278632,0.017003435,0.043806002,0.012812956,-37.61180167,0.060815623,0.129035489,0.130449311,0.023059582,0,0.17119736,,,,,,
0.019375185,0.042901433,0.022505566,0.040404999,0.043908299,0.016970327,0.044386844,0.012995096,-37.94063039,0.061716344,0.130733324,0.132165749,0.023362998,0,0.171215963,,,,,,
0.019848911,0.043316676,0.02279485,0.040941259,0.044537192,0.016933759,0.044969246,0.013174173,-38.265736,0.062617065,0.13243116,0.133882187,0.023666413,0,0.171234566,,,,,,
0.020324495,0.043728901,0.023087391,0.041476413,0.045165291,0.016893738,0.045553192,0.013350177,-38.58716254,0.063517786,0.134128995,0.135598626,0.023969829,0,0.171253169,,,,,,
0.020801918,0.044138101,0.023383186,0.042010441,0.045792577,0.016850272,0.046138665,0.013523095,-38.90495403,0.064418506,0.135826831,0.137315064,0.024273245,0,0.171271771,,,,,,
0.021278754,0.044546273,0.023684636,0.042541317,0.046418724,0.016806485,0.046725957,0.0136898,-39.21915447,0.065319227,0.137524666,0.139031502,0.02457666,0,0.171290374,,,,,,
0.021757412,0.044951431,0.023989311,0.043071003,0.047044054,0.016759271,0.047314711,0.013853393,-39.52980776,0.066219948,0.139222501,0.14074794,0.024880076,0,0.171308977,,,,,,
0.022237875,0.045353567,0.024297205,0.043599478,0.047668548,0.016708638,0.047904909,0.014013865,-39.83695767,0.067120669,0.140920337,0.142464379,0.025183491,0,0.17132758,,,,,,
0.022720123,0.045752672,0.024608316,0.044126724,0.048292189,0.016654594,0.048496535,0.014171204,-40.14064786,0.06802139,0.142618172,0.144180817,0.025486907,0,0.171346183,,,,,,
0.023204138,0.04614874,0.024922638,0.04465272,0.048914956,0.016597145,0.049089574,0.0143254,-40.44092176,0.068922111,0.144316008,0.145897255,0.025790322,0,0.171364786,,,,,,
0.023683588,0.046547317,0.025246479,0.045171894,0.049536233,0.016544687,0.049684606,0.014468055,-40.73782263,0.069822832,0.146013843,0.147613694,0.026093738,0,0.171383389,,,,,,
0.024164828,0.046942909,0.025573462,0.045689712,0.05015669,0.016488847,0.050280926,0.014607539,-41.03139349,0.070723552,0.147711678,0.149330132,0.026397154,0,0.171401992,,,,,,
0.024647838,0.04733551,0.025903583,0.046206155,0.050776309,0.016429633,0.050878517,0.014743842,-41.32167712,0.071624273,0.149409514,0.15104657,0.026700569,0,0.171420595,,,,,,
0.025132602,0.04772511,0.026236835,0.046721206,0.051395072,0.016367051,0.051477362,0.014876956,-41.608716,0.072524994,0.151107349,0.152763009,0.027003985,0,0.171439198,,,,,,
0.0256191,0.048111703,0.026573214,0.047234844,0.05201296,0.016301109,0.052077444,0.015006869,-41.89255232,0.073425715,0.152805184,0.154479447,0.0273074,0,0.171457801,,,,,,
0.026095476,0.048506278,0.026924552,0.047736056,0.052629239,0.016247957,0.052679462,0.015117433,-42.17322798,0.074326436,0.15450302,0.156195885,0.027610816,0,0.171476404,,,,,,
0.02657367,0.048897958,0.027278885,0.048235691,0.05324478,0.016191467,0.053282509,0.01522477,-42.45078452,0.075227157,0.156200855,0.157912323,0.027914231,0,0.171495006,,,,,,
0.027053662,0.049286735,0.027636208,0.048733731,0.053859566,0.016131646,0.053886568,0.015328874,-42.72526314,0.076127878,0.157898691,0.159628762,0.028217647,0,0.171513609,,,,,,
0.027535437,0.049672601,0.027996514,0.04923016,0.054473579,0.016068501,0.05449162,0.015429736,-42.99670468,0.077028598,0.159596526,0.1613452,0.028521062,0,0.171532212,,,,,,
0.028018975,0.050055548,0.028359796,0.049724959,0.055086801,0.016002039,0.055097649,0.015527349,-43.26514961,0.077929319,0.161294361,0.163061638,0.028824478,0,0.171550815,,,,,,
0.02847954,0.050459807,0.028750768,0.050193871,0.055698609,0.015966882,0.055705242,0.015587089,-43.53063802,0.07883004,0.162992197,0.164778077,0.029127894,0,0.171569418,,,,,,
0.028942095,0.050861398,0.029144439,0.050660853,0.056309963,0.015928426,0.056313404,0.015643559,-43.79320957,0.079730761,0.164690032,0.166494515,0.029431309,0,0.171588021,,,,,,
0.029406627,0.051260311,0.029540801,0.051125889,0.056920846,0.015886676,0.056922116,0.015696755,-44.05290356,0.080631482,0.166387867,0.168210953,0.029734725,0,0.171606624,,,,,,
0.029873119,0.051656535,0.029939843,0.051588964,0.057531239,0.015841635,0.057531363,0.015746672,-44.30975885,0.081532203,0.168085703,0.169927391,0.03003814,0,0.171625227,,,,,,
0.030341556,0.052050061,0.030341556,0.052050061,0.058141124,0.015793306,0.058141124,0.015793306,-44.56381386,0.082432924,0.169783538,0.17164383,0.030341556,0,0.17164383,,,,,,
